iter	Passed	Remaining
1188	128998	196481
1189	129111	196379
1190	129227	196282
1191	129341	196182
1192	129471	196106
1193	129587	196009
1194	129716	195931
1195	129827	195827
1196	129940	195724
1197	130069	195647
1198	130196	195566
1199	130335	195502
1200	130472	195436
1201	130602	195359
1202	130739	195294
1203	130857	195199
1204	130967	195093
1205	131081	194992
1206	131209	194912
1207	131340	194836
1208	131472	194762
1209	131588	194664
1210	131721	194590
1211	131852	194515
1212	131968	194416
1213	132097	194337
1214	132207	194231
1215	132338	194153
1216	132447	194045
1217	132585	193979
1218	132699	193877
1219	132815	193779
1220	132953	193712
1221	133064	193607
1222	133179	193507
1223	133298	193413
1224	133412	193312
1225	133544	193236
1226	133680	193166
1227	133805	193081
1228	133931	192996
1229	134065	192923
1230	134176	192816
1231	134290	192715
1232	134413	192626
1233	134531	192530
1234	134642	192424
1235	134760	192328
1236	134877	192230
1237	134991	192128
1238	135119	192046
1239	135233	191944
1240	135333	191822
1241	135449	191723
1242	135565	191623
1243	135680	191522
1244	135794	191420
1245	135907	191317
1246	136036	191236
1247	136136	191114
1248	136247	191008
1249	136360	190904
1250	136493	190828
1251	136605	190724
1252	136721	190624
1253	136852	190546
1254	136981	190464
1255	137090	190354
1256	137223	190278
1257	137353	190198
1258	137462	190089
1259	137593	190009
1260	137724	189930
1261	137832	189819
1262	137942	189712
1263	138055	189608
1264	138171	189508
1265	138287	189408
1266	138403	189308
1267	138514	189201
1268	138633	189105
1269	138763	189024
1270	138901	188953
1271	139032	188874
1272	139148	188773
1273	139277	188690
1274	139392	188589
1275	139503	188483
1276	139617	188380
1277	139747	188297
1278	139857	188189
1279	140007	188135
1280	140122	188032
1281	140241	187936
1282	140358	187837
1283	140485	187752
1284	140599	187648
1285	140732	187570
1286	140858	187483
1287	141004	187422
1288	141116	187315
1289	141226	187206
1290	141336	187098
1291	141466	187016
1292	141599	186938
1293	141716	186837
1294	141843	186751
1295	141958	186649
1296	142104	186588
1297	142220	186486
1298	142341	186391
1299	142471	186308
1300	142583	186201
1301	142709	186114
1302	142818	186004
1303	142948	185920
1304	143079	185839
1305	143188	185728
1306	143285	185602
1307	143395	185493
1308	143506	185385
1309	143637	185302
1310	143761	185211
1311	143895	185133
1312	144019	185042
1313	144150	184960
1314	144282	184878
1315	144408	184790
1316	144538	184706
1317	144655	184605
1318	144729	184451
1319	144859	184366
1320	144990	184283
1321	145115	184193
1322	145239	184102
1323	145315	183948
1324	145429	183844
1325	145557	183758
1326	145691	183678
1327	145828	183602
1328	145952	183511
1329	146060	183398
1330	146135	183245
1331	146244	183135
1332	146369	183044
1333	146498	182958
1334	146620	182864
1335	146764	182796
1336	146870	182682
1337	146946	182529
1338	147073	182442
1339	147187	182337
1340	147312	182245
1341	147457	182178
1342	147569	182072
1343	147688	181973
1344	147802	181868
1345	147926	181775
1346	148051	181684
1347	148193	181614
1348	148311	181514
1349	148446	181434
1350	148568	181338
1351	148700	181256
1352	148826	181166
1353	148952	181075
1354	149081	180987
1355	149207	180898
1356	149339	180814
1357	149486	180748
1358	149609	180654
1359	149733	180561
1360	149862	180473
1361	149985	180378
1362	150058	180224
1363	150133	180071
1364	150259	179981
1365	150389	179895
1366	150516	179804
1367	150591	179652
1368	150663	179497
1369	150786	179402
1370	150957	179365
1371	151085	179276
1372	151230	179207
1373	151337	179093
1374	151483	179025
1375	151607	178932
1376	151746	178855
1377	151823	178706
1378	151931	178593
1379	152059	178504
1380	152152	178374
1381	152276	178280
1382	152402	178188
1383	152527	178095
1384	152676	178030
1385	152822	177962
1386	152897	177810
1387	153016	177711
1388	153095	177564
1389	153206	177454
1390	153282	177304
1391	153404	177208
1392	153545	177133
1393	153655	177023
1394	153784	176934
1395	153862	176787
1396	153986	176692
1397	154113	176601
1398	154191	176455
1399	154329	176376
1400	154444	176271
1401	154565	176174
1402	154712	176105
1403	154789	175957
1404	154938	175891
1405	155070	175805
1406	155206	175723
1407	155348	175649
1408	155456	175537
1409	155601	175465
1410	155724	175369
1411	155805	175226
1412	155950	175155
1413	156077	175062
1414	156218	174986
1415	156327	174874
1416	156450	174778
1417	156522	174625
1418	156649	174532
1419	156775	174440
1420	156900	174346
1421	157011	174236
1422	157085	174085
1423	157159	173935
1424	157289	173845
1425	157409	173746
1426	157488	173602
1427	157614	173508
1428	157689	173358
1429	157763	173208
1430	157891	173117
1431	158002	173008
1432	158125	172911
1433	158246	172812
1434	158355	172701
1435	158486	172612
1436	158613	172521
1437	158690	172374
1438	158810	172274
1439	158921	172165
1440	159065	172090
1441	159139	171941
1442	159285	171869
1443	159426	171791
1444	159552	171698
